asin	1	2	3	4	5
3511799	3	4	7	18	12
8496497	11	7	17	26	16
6626091	9	2	3	18	16
3213468	6	1	6	11	10
2156138	8	1	5	17	11
6712803	2	3	4	20	7
6425350	5	1	6	13	25
8418638	2	3	2	18	36
3654272	1	0	2	21	57
5823575	6	2	4	24	26
2479603	2	0	2	7	8
9343596	5	2	3	4	10
7180182	7	4	2	11	10
5325546	7	2	2	10	11
4437063	9	3	2	9	12
1492176	0	0	0	1	2
5704971	2	3	3	14	27
9279848	6	2	6	9	14
2117023	3	1	5	8	18
1511713	5	2	5	9	15
7228433	4	0	1	2	5
9884362	9	3	4	7	10
6301604	3	1	3	10	13
6583165	6	1	4	4	9
8821727	2	2	1	7	11
8482597	3	2	5	9	10
7532800	6	1	5	10	6
9089817	10	2	8	60	188
9661812	8	8	13	67	363
4914834	10	4	8	54	287
5367689	28	16	32	193	538
1894053	47	16	41	137	291
1851972	91	33	51	93	128
4533902	66	29	28	40	51
2246851	16	7	27	202	597
6646646	10	3	15	122	446
1116505	0	1	0	6	25
7741091	27	16	21	46	71
7185320	32	7	8	23	27
4690756	4	1	7	53	117
2303141	11	11	12	80	194
7587419	7	1	5	13	56
6687312	10	4	7	56	257
6908011	13	8	7	50	208
2496353	73	32	74	92	107
8516802	24	7	20	41	77
9515592	21	10	21	99	158
7105776	18	5	14	94	146
6639691	32	18	31	29	59
6175820	16	13	27	71	93
6448028	24	11	21	97	151
4324335	15	11	21	47	88
1647679	6	4	17	82	291
1730077	8	14	25	34	74
9057425	8	8	13	106	223
9086575	1	4	2	40	133
8424924	2	4	4	33	140
4331475	1	2	2	42	188
5000728	12	8	13	43	70
4459765	18	11	26	65	180
7990120	2	2	4	10	62
9716986	3	0	4	20	79
1674775	1	0	3	4	41
2873727	20	15	31	118	223
9126793	8	8	6	31	101
1000114	7	5	5	38	99
1119414	4	3	10	45	157
5053166	1	4	5	24	37
6469119	1	0	3	18	48
8826734	7	3	2	34	142
2097300	0	2	1	24	94
7837848	0	1	8	23	127
1803213	31	16	20	62	110
2669202	11	7	19	48	114
5249479	11	2	10	35	126
1471316	9	7	6	59	132
2780773	7	1	4	30	54
2180701	3	4	9	34	88
1500994	11	3	5	40	105
2966527	7	2	8	38	126
8575915	10	6	18	92	169
7107416	3	6	19	87	209
2564675	5	4	4	38	117
8728765	29	11	17	58	173
4179161	46	20	26	104	195
9457994	16	6	14	94	275
2384725	1	1	4	38	178
1502438	22	12	15	46	37
1923141	6	4	2	8	23
3021970	12	3	6	26	36
1235585	1	1	3	22	75
3785874	3	1	7	15	33
6622282	4	3	13	33	54
